Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\BPod Panel Due\Project Outputs for BPod Panel Due\Assembly Outputs\Generates pick and place files.csv

========================================================================================================================
File Design Information:

Date:       28/10/25
Time:       10:52
Revision:   54159a12e24615d6fe647be37016555d73f76274
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C3","C0805-22uF-25V","TopLayer","CAP_CHIP_0805","47.2160","114.8750","180","0805 Multilayer Ceramic Capacitors MLCC"
"C30_2","C0603-10uF-35V","TopLayer","CAP_CHIP_0603","299.9750","113.0800","180","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C30_1","C0603-10uF-35V","TopLayer","CAP_CHIP_0603","273.3750","113.0750","0","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C29","C0603-10uF-35V","TopLayer","CAP_CHIP_0603","263.7500","77.7500","180","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C28","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","256.3500","73.6250","90","0603 Multilayer Ceramic Capacitors MLCC"
"C27","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","273.4750","60.8750","90","0603 Multilayer Ceramic Capacitors MLCC"
"C26","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","253.3500","81.5500","0","0603 Multilayer Ceramic Capacitors MLCC"
"C25","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","272.2250","72.6250","0","0603 Multilayer Ceramic Capacitors MLCC"
"C24_4","C0603-10uF-35V","TopLayer","CAP_CHIP_0603","237.9800","27.7250","0","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C24_3","C0603-10uF-35V","TopLayer","CAP_CHIP_0603","216.4750","25.7750","180","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C24_2","C0603-10uF-35V","TopLayer","CAP_CHIP_0603","7.9800","27.9000","0","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C24_1","C0603-10uF-35V","TopLayer","CAP_CHIP_0603","379.9950","72.6574","180","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C23_4","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","256.4000","26.7500","90","0603 Multilayer Ceramic Capacitors MLCC"
"C23_3","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","211.1500","26.1500","90","0603 Multilayer Ceramic Capacitors MLCC"
"C23_2","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","27.2250","24.9500","180","0603 Multilayer Ceramic Capacitors MLCC"
"C23_1","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","364.5500","56.1250","270","0603 Multilayer Ceramic Capacitors MLCC"
"C22_4","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","247.6500","29.2500","90","0603 Multilayer Ceramic Capacitors MLCC"
"C22_3","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","211.1500","29.1500","90","0603 Multilayer Ceramic Capacitors MLCC"
"C22_2","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","17.7500","28.8250","90","0603 Multilayer Ceramic Capacitors MLCC"
"C22_1","C0603-100nF-50V","TopLayer","CAP_CHIP_0603","364.5500","52.8250","90","0603 Multilayer Ceramic Capacitors MLCC"
"U15","RT8259","TopLayer","SOT23-6","389.0825","9.6000","270","Step-down type Adjustable 800mV~15V 1.2A 4.5V~24V Switching Regulator/Controller"
"U14","TPS60403","TopLayer","SOT23-5","320.6500","105.4250","180","60mA Charge Pump Voltage Inverter with Fixed 250kHz Operation 5-SOT-23 -40 to 85"
"U12","TXB0104","TopLayer","TSSOP14_5X4.4_0.65E","271.0250","66.8500","180","4-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15 kV ESD Protect 14-TSSOP -40 to 85"
"U11","TXB0108","TopLayer","TSSOP20_6.5X4.4_0.65E","251.8250","75.8250","180","8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect 20-TSSOP -40 to 85"
"U10_3","TXB0108","TopLayer","TSSOP20_6.5X4.4_0.65E","205.8500","30.4000","180","8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect 20-TSSOP -40 to 85"
"U10_2","TXB0108","TopLayer","TSSOP20_6.5X4.4_0.65E","22.0500","27.9000","180","8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect 20-TSSOP -40 to 85"
"U10_1","TXB0108","TopLayer","TSSOP20_6.5X4.4_0.65E","368.8500","53.9250","0","8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect 20-TSSOP -40 to 85"
"U7","ADG819","TopLayer","SOT23-6","383.1500","24.4750","0","Analog Switch/Analog Multiplexer Single 2: 1 Automotive 6-Pin SOT-23 T/R"
"U6","AD8606","TopLayer","VSSOP8_3X3_0.65E","364.5875","27.5250","180","Operational Amplifier, 2 Func, 750uV Offset-Max, CMOS, PDSO8"
"U5","AD8606","TopLayer","VSSOP8_3X3_0.65E","378.0000","25.5750","270","Operational Amplifier, 2 Func, 750uV Offset-Max, CMOS, PDSO8"
"U4","ADG819","TopLayer","SOT23-6","372.7750","24.4750","0","Analog Switch/Analog Multiplexer Single 2: 1 Automotive 6-Pin SOT-23 T/R"
"U3","SPX3819-5V","TopLayer","SOT23-5","26.8000","60.6000","180","500mA 70dB Fixed 3.3V Positive electrode 16V LDO"
"U2","ADUM1201B","TopLayer","SOIC8","38.7500","55.1100","270","General Purpose Digital Isolator 2500Vrms 2 Channel 10Mbps 25kV/µs CMTI 8-SOIC (0.154"
"U1","SP490E","TopLayer","SOIC8","28.3500","54.8410","90","TRANSCEIVER RS485, SMD, NSOIC8, 5V; Device Type: Line Driver / Receiver; IC Interface Type: RS422, RS485; No. of..."
"R40","R0603-10K","TopLayer","RES_CHIP_0603","385.4000","8.6500","0","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R39","R0603-62K","TopLayer","RES_CHIP_0603","386.1500","10.9000","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R38","R0603-20K","TopLayer","RES_CHIP_0603","414.6250","16.6250","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R37","R0603-33K","TopLayer","RES_CHIP_0603","416.8750","17.3750","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R36","R1206-10R","TopLayer","RES_CHIP_1206","402.4000","17.2750","180","Res Thick Film 1206 10 Ohm 5% 0.75W(3/4W) ±200ppm/C Pad SMD Automotive T/R"
"R35","R0603-1M","TopLayer","RES_CHIP_0603","416.7750","24.7250","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R34","R0603-1M","TopLayer","RES_CHIP_0603","413.7750","24.7250","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R32","R1206-10R","TopLayer","RES_CHIP_1206","402.4000","4.3250","180","Res Thick Film 1206 10 Ohm 5% 0.75W(3/4W) ±200ppm/C Pad SMD Automotive T/R"
"R31","R0603-33K","TopLayer","RES_CHIP_0603","416.1500","6.8000","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R30","R0603-20K","TopLayer","RES_CHIP_0603","413.9000","7.5500","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R19","R0603-100R","TopLayer","RES_CHIP_0603","379.5250","21.5250","0","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R18","R0603-10K","TopLayer","RES_CHIP_0603","379.5250","23.0250","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R17","R0603-5K1","TopLayer","RES_CHIP_0603","383.3500","27.4250","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R16","R0603-1K5","TopLayer","RES_CHIP_0603","364.5750","11.2750","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R15","R0603-100K","TopLayer","RES_CHIP_0603","367.4750","22.3750","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R14","R0603-100K","TopLayer","RES_CHIP_0603","367.4750","25.3750","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R13","R0603-1K5","TopLayer","RES_CHIP_0603","364.1625","35.2500","0","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R12","R0603-100K","TopLayer","RES_CHIP_0603","367.4750","31.3750","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R11","R0603-100K","TopLayer","RES_CHIP_0603","367.4750","28.3750","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R10","R0603-100R","TopLayer","RES_CHIP_0603","376.5250","21.5250","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R9","R0603-10K","TopLayer","RES_CHIP_0603","376.5250","23.0250","0","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R8","R0603-100K","TopLayer","RES_CHIP_0603","369.4000","34.2500","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R7","R0603-5K1","TopLayer","RES_CHIP_0603","372.9750","27.4250","180","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R6","R0603-120R","TopLayer","RES_CHIP_0603","23.6000","56.3500","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R5","R0603-1K","TopLayer","RES_CHIP_0603","33.5500","55.5750","0","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R4","R0603-10K","TopLayer","RES_CHIP_0603","22.1000","53.9500","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R3","R0603-1K","TopLayer","RES_CHIP_0603","33.5500","54.0750","0","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R2","R0603-120R","TopLayer","RES_CHIP_0603","23.6000","53.3500","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"R1","R0603-10K","TopLayer","RES_CHIP_0603","22.1000","50.9500","270","100mW Thick Film Resistors 75V ±100ppm/? ±1% 0603 Chip Resistor"
"Q3_24","AO3400A","TopLayer","SOT23","111.3750","36.5000","180","30V 5.7A 26.5mO@10V,5.7A 1.4W 1.5V@250uA 1 NChannel SOT-23-3L MOSFETs"
"Q2","AO3400A","TopLayer","SOT23","364.4250","13.9000","180","30V 5.7A 26.5mO@10V,5.7A 1.4W 1.5V@250uA 1 NChannel SOT-23-3L MOSFETs"
"Q1","AO3400A","TopLayer","SOT23","364.4250","37.8750","0","30V 5.7A 26.5mO@10V,5.7A 1.4W 1.5V@250uA 1 NChannel SOT-23-3L MOSFETs"
"LED2","INDICATOR","TopLayer","LED_CHIP_0805","364.4250","16.6492","180","White 0805 Light Emitting Diodes (LED) ROHS"
"LED1","INDICATOR","TopLayer","LED_CHIP_0805","364.4250","40.6508","0","White 0805 Light Emitting Diodes (LED) ROHS"
"L1","L-PWR-47uH-0.3A","TopLayer","IND_PWR_1210","391.8000","14.0000","90","Inductor Power Chip Shielded Wirewound 47uH 20% 1MHz Ferrite 0.5A 0.9Ohm DCR 1210 Automotive T/R"
"FB2","FB0805-600R-0.5A","TopLayer","FB_CHIP_0805","392.9250","10.8000","180","Ferrite Chip, 1 Function(s), 0.5A, 2 Pin(s)"
"D1","CUS10S30","TopLayer","SOD323","389.3000","13.1000","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 1A, 30V V(RRM), Silicon"
"C49","C0603-1uF-50V","TopLayer","CAP_CHIP_0603","388.7000","17.0500","180","0603 Multilayer Ceramic Capacitors MLCC"
"C48","C0603-10uF-35V","TopLayer","CAP_CHIP_0603","392.7750","9.1500","180","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C47","C0603-10nF-50V","TopLayer","CAP_CHIP_0603","392.4000","21.2500","0","0603 Multilayer Ceramic Capacitors MLCC"
"C46","C0603-10uF-25V","TopLayer","CAP_CHIP_0603","389.6500","19.3000","90","0603 Multilayer Ceramic Capacitors MLCC"
"C45","C0603-10uF-35V","TopLayer","CAP_CHIP_0603","388.7000","15.5500","0","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C44","C0603-100pF-50V","TopLayer","CAP_CHIP_0603","384.6500","10.8750","90","0603 Multilayer Ceramic Capacitors MLCC"
"C43","C0603-10nF-50V","TopLayer","CAP_CHIP_0603","387.6500","13.1500","270","0603 Multilayer Ceramic Capacitors MLCC"
